[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELICSIMPORT: Touch file created for golhisarim]
[20-Mar-2023 17:47:32 Europe/Istanbul] Schema updates detected in /usr/local/cpanel/base/3rdparty/roundcube/plugins/calendar/SQL/sqlite.2022120700.migration.sql, applying now...
[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELICSIMPORT: IMPORTED 0]
[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELICSIMPORT: ERRORS 1]
[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELVCFIMPORT: Touch file created for golhisarim]
[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELVCFIMPORT: IMPORTED 1]
[20-Mar-2023 17:47:32 Europe/Istanbul] [CPANELVCFIMPORT: ERRORS 0]
[21-Mar-2023 04:53:41 Europe/Istanbul] [CPANELICSIMPORT: Touch file created for iletisim@golhisarim.com.tr]
[21-Mar-2023 04:53:41 Europe/Istanbul] PHP Warning:  filesize(): stat failed for /home/golhisarim/.cpanel/icals/iletisim@golhisarim.com.tr.ics in /usr/local/cpanel/base/3rdparty/roundcube/plugins/cpanelicsimport/cpanelicsimport.php on line 91
[21-Mar-2023 04:53:41 Europe/Istanbul] [CPANELVCFIMPORT: Touch file created for iletisim@golhisarim.com.tr]
[21-Mar-2023 04:53:41 Europe/Istanbul] PHP Warning:  filesize(): stat failed for /home/golhisarim/.cpanel/vcards/iletisim@golhisarim.com.tr.vcf in /usr/local/cpanel/base/3rdparty/roundcube/plugins/cpanelvcfimport/cpanelvcfimport.php on line 77
[30-Mar-2023 18:35:02 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[30-Mar-2023 18:35:02 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[01-Apr-2023 02:15:39 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[01-Apr-2023 02:15:39 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[01-Apr-2023 02:16:41 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[01-Apr-2023 02:16:41 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 05:39:17 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 05:39:17 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 07:36:26 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 07:36:26 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 19:21:00 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 19:21:00 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 20:00:14 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[03-Apr-2023 20:00:14 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[18-Apr-2023 16:30:50 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[18-Apr-2023 16:30:50 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[18-Apr-2023 17:33:06 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[18-Apr-2023 17:33:07 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[19-Apr-2023 18:46:06 Europe/Istanbul] [CPANELICSIMPORT: Touch file /home/golhisarim/.cpanel/icals/.cpanel_ics_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
[19-Apr-2023 18:46:06 Europe/Istanbul] [CPANELVCFIMPORT: Touch file /home/golhisarim/.cpanel/vcards/.cpanel_vcf_import_iletisim@golhisarim.com.tr exists for iletisim@golhisarim.com.tr and cpanel_run_once is true, exiting]
